volact,cntry,female,yrbrn,eduyrs,domicil,married,children,houseperson,wkhtot,church,sclmeet,social_trust,tolerance,self_realisation,solidarity,tvpol,tvtot,political_interest,trust_exe,trust_leg,trstep,stfdem,dweight
0,"AL",0,1949,8,4,1,0,0,80,1,5,11,5,2,5,6,7,4,1,0,2,0,.77506918
0,"AL",1,1983,12,4,1,1,0,0,3,3,2,5,5,5,2,7,2,5,4,10,5,1.3544285
1,"AL",1,1946,12,1,1,1,0,48,1,7,17,6,6,5,0,4,3,1,0,8,2,2.9335522
1,"AL",0,,,,,1,0,0,3,6,20,,,,0,0,1,3.5,1,10,2,.96883648
0,"AL",0,1953,4,4,1,1,0,40,6,4,21,6,4,6,2,6,3,6.5,8,9,7,1.3250008
0,"AL",0,1938,4,3,1,0,0,70,1,6,25,5,6,1,7,7,3,6.5,4.5,9,5,.0481429
1,"AL",1,1955,8,4,1,1,0,24,4,4,30,4,3,4,1,7,2,9.5,3.5,10,7,1.2699601
0,"AL",1,1948,4,4,1,1,0,70,3,4,8,5,3,6,7,7,1,9.5,4,10,7,1.3250008
1,"AL",1,1995,11,4,0,0,0,0,1,4,23,5,5,5,1,7,3,7,5,8,6,.95247006
0,"AL",1,1970,8,4,1,1,0,0,4,7,27,6,6,6,1,3,1,2,0,8,0,.77185313
0,"AL",0,1983,8,3,0,0,0,9,1,7,19,1,5,5,7,2,1,1,.5,10,2,.96285809
0,"AL",0,1932,10,4,1,0,0,9,3,4,10,2,5,5,6,7,2,1.5,1,5,1,.54177142
0,"AL",0,1934,7,4,1,1,0,80,1,7,14,5,5,6,2,2,2,.5,0,5,1,1.0600007
0,"AL",1,1951,11,4,0,0,0,80,2,6,16,5,6,4,2,1,2,2,2.5,8,4,.63498004
0,"AL",1,1949,12,4,1,0,0,48,3,3,12,4,5,6,3,6,3,3.5,4,5,0,.63498004
0,"AL",0,1952,7,4,1,0,0,64,1,4,9,6,5,6,1,2,1,2.5,.5,,1,.31749002
1,"AL",0,1974,12,4,1,1,0,48,1,6,9,6,6,5,2,5,3,0,2,,0,.95247006
0,"AL",1,1973,8,4,0,0,0,,5,6,23,5,6,6,2,2,3,10,10,10,5,1.0835428
1,"AL",1,1994,11,4,0,0,0,0,1,2,10,5,6,5,3,5,2,2.5,2.5,6,4,1.0600007
1,"AL",0,1983,3,4,1,1,0,,7,2,11,5,6,6,1,1,4,0,4.5,2,6,1.9296328
0,"AL",1,1944,4,4,1,0,0,,4,3,3,,,1,0,0,1,0,0,,9,.54177142
1,"AL",1,1961,16,4,1,1,0,42,1,4,7,5,6,6,2,2,3,9,6,10,5,1.5812003
0,"AL",1,1955,11,4,1,0,0,100,3,6,22,5,5,6,2,5,4,9,8,10,10,.77185313
1,"AL",1,1996,10,4,0,0,0,0,6,7,20,5,6,5,1,6,3,8.5,6,9,5,.81265713
1,"AL",0,1989,16,4,,0,0,0,1,4,18,5,5,5,3,5,2,6,2,2,8,1.5437063
0,"AL",1,1956,15,3,1,1,0,84,1,5,24,5,5,5,5,5,4,7,9,8,8,.23292626
0,"AL",1,1969,8,4,1,1,0,0,6,1,13,4,5,6,0,0,1,2,0,6,0,1.5437063
0,"AL",0,1980,12,3,0,0,0,86,3,7,11,4,2,5,4,5,4,5,3,10,6,1.8962
0,"AL",1,1948,4,4,1,0,0,50,1,3,16,2,5,5,3,7,3,5.5,2.5,10,0,.77185313
1,"AL",0,1995,11,3,0,0,0,,6,7,16,5,1,6,1,1,1,2.5,0,0,6,2.8257673
0,"AL",0,1983,8,4,1,1,0,0,1,3,11,5,6,5,2,4,2,9,3.5,8,2,1.8550012
0,"AL",1,1970,12,4,1,1,0,0,3,2,13,5,5,5,2,1,1,0,0,0,3,.94872017
0,"AL",1,1941,9,3,1,0,0,48,4,4,19,4,5,5,4,5,2,8,5.5,10,9,.23318368
0,"AL",1,1959,12,4,,1,0,0,1,3,18,4,5,4,4,7,1,6,.5,9,4,.63248012
0,"AL",1,1962,12,4,0,1,0,0,2,3,15,4,3,4,2,2,3,6.5,5.5,7,4,.31624006
0,"AL",1,1957,12,1,1,1,0,56,1,6,14,6,6,5,5,5,1,2.5,0,10,5,.43495123
0,"AL",0,1943,8,4,1,1,0,56,1,7,12,5,6,6,4,6,4,7.5,5.5,,9,1.5812003
1,"AL",0,1970,8,4,1,1,0,50,1,6,5,5,5,6,1,5,1,.5,0,0,2,.63248012
1,"AL",0,1933,11,3,1,1,0,30,3,4,10,6,5,6,2,2,2,1,0,5,3,4
0,"AL",0,1960,12,3,1,1,0,50,3,7,24,4,4,4,7,7,3,4.5,3.5,9,4,2.6960027
0,"AL",0,1980,12,4,1,1,0,24,1,2,15,,1,5,3,3,3,7,5,10,5,.77506918
1,"AL",1,1979,14,3,1,1,0,100,1,3,18,5,3,5,0,7,2,4,2,10,4,1.5405729
0,"AL",1,1992,12,3,0,0,0,0,1,3,7,4,6,5,1,7,1,1.5,0,5,4,.23318368
1,"AL",0,1972,17,4,1,1,0,84,3,4,15,5,5,5,2,3,3,6.5,6.5,7,7,1.5501384
1,"AL",0,1992,13,3,0,0,0,0,7,7,17,5,6,6,0,0,3,6,4,8,3,2.0986531
0,"AL",0,1979,12,3,1,1,0,80,1,7,15,5,6,6,2,7,1,5,0,10,10,.14373254
1,"AL",1,1989,12,3,1,1,0,79,3,4,5,4,4,5,1,3,1,2,0,3,2,2.0015851
0,"AL",0,1961,12,3,1,1,0,40,1,7,15,5,5,5,7,7,3,7,1,4,3,1.4354967
1,"AL",1,1949,8,4,1,0,0,0,3,5,22,2,2,4,3,3,2,4.5,0,1,5,.80771862
1,"AL",0,1950,12,4,1,0,0,56,1,6,3,2,5,6,2,6,4,1,4.5,10,2,1.2115779
0,"AL",1,1977,12,3,1,1,0,100,4,4,5,2,4,5,1,6,2,5,1.5,8,0,.17488776
1,"AL",0,1996,11,3,0,0,0,,2,4,22,3,3,4,1,2,2,0,2,,0,.17661045
0,"AL",0,1958,12,1,1,1,0,48,3,7,24,3,6,6,6,7,2,8,1.5,10,7,.54325041
0,"AL",1,1942,4,3,1,0,0,,2,7,15,6,6,6,1,4,3,8,5,3,7,4
0,"AL",1,1990,12,3,0,0,0,0,3,2,29,5,6,5,2,7,1,9,3,5,9,.33537593
0,"AL",0,1944,4,3,1,0,0,0,1,7,20,4,4,5,2,6,4,5,2.5,,5,2.7274437
1,"AL",0,1994,11,3,0,0,0,2,3,6,21,5,4,5,2,6,3,6.5,4.5,9,6,3.2298676
